amfi_code,date,nav,fund_house_api,scheme_name_api
120503,2026-05-13,103.396,Axis Mutual Fund,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option
120503,2026-05-14,104.5531,Axis Mutual Fund,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option
120503,2026-05-15,104.2918,Axis Mutual Fund,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option
120503,2026-05-18,104.1556,Axis Mutual Fund,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option
120503,2026-05-19,104.2767,Axis Mutual Fund,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option
120503,2026-05-20,104.6046,Axis Mutual Fund,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option
120503,2026-05-21,104.4915,Axis Mutual Fund,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option
120503,2026-05-22,104.7708,Axis Mutual Fund,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option
120503,2026-05-25,105.9217,Axis Mutual Fund,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option
120503,2026-05-26,105.5115,Axis Mutual Fund,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option
120503,2026-05-27,105.9296,Axis Mutual Fund,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option
120503,2026-05-29,104.3129,Axis Mutual Fund,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option
120503,2026-05-31,104.3083,Axis Mutual Fund,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option
120503,2026-06-01,103.0948,Axis Mutual Fund,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option
120503,2026-06-02,103.5959,Axis Mutual Fund,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option
120503,2026-06-03,103.4809,Axis Mutual Fund,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option
120503,2026-06-04,103.6421,Axis Mutual Fund,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option
120503,2026-06-05,103.8102,Axis Mutual Fund,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option
120503,2026-06-08,102.4845,Axis Mutual Fund,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option
120503,2026-06-09,103.5259,Axis Mutual Fund,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option
